run_id,group_id,dataset,model,imr,seed_alias,acc_pct,wf1_pct,recorded_best_epoch,recorded_dev_wf1_pct,source_status,process_return_code,nonzero_exit,log_available,log_metrics_match,evidence_id
G09-seed4,G09,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",seed4,64.9414664202095,64.56792910890327,30,66.82374260946163,ok,3221226505,True,True,True,G09-seed4-E
G09-seed5,G09,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",seed5,65.4343807763401,65.33613837000537,34,64.11079169086148,ok,3221226505,True,True,True,G09-seed5-E
G10-seed1,G10,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",seed1,63.462723351817615,62.91498868971429,70,51.395033164328794,ok,3221226505,True,True,True,G10-seed1-E
G10-seed2,G10,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",seed2,63.09303758471966,62.78322398827252,55,54.273922969789915,ok,3221226505,True,True,True,G10-seed2-E
G10-seed3,G10,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",seed3,62.04559457794209,61.57208173991149,44,56.43391936755796,ok,3221226505,True,True,True,G10-seed3-E
G10-seed4,G10,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",seed4,62.35366605052373,62.205533479341376,58,59.219218938886954,ok,3221226505,True,True,True,G10-seed4-E
G10-seed5,G10,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",seed5,63.95563770794824,63.935483313853815,44,51.720359238077364,ok,3221226505,True,True,True,G10-seed5-E
G11-seed1,G11,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",seed1,65.92729513247073,65.75720554601101,46,60.3096269115055,ok,3221226505,True,True,True,G11-seed1-E
G11-seed2,G11,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",seed2,62.90819470117067,63.092991419708476,85,63.97823987574897,ok,3221226505,True,True,True,G11-seed2-E
G11-seed3,G11,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",seed3,63.15465187923598,62.70384714463073,45,65.14874321537376,ok,3221226505,True,True,True,G11-seed3-E
G11-seed4,G11,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",seed4,65.68083795440542,65.2677348069507,41,64.5355038523093,ok,3221226505,True,True,True,G11-seed4-E
G11-seed5,G11,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",seed5,62.600123228589034,62.60456362615301,40,58.245721257547466,ok,3221226505,True,True,True,G11-seed5-E
G12-seed1,G12,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",seed1,64.20209488601355,63.6810072848093,50,56.97963794546889,ok,3221226505,True,True,True,G12-seed1-E
G12-seed2,G12,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",seed2,62.10720887245841,62.262159792703365,58,61.35801334183842,ok,3221226505,True,True,True,G12-seed2-E
G12-seed3,G12,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",seed3,62.78496611213802,62.32082037156045,32,61.00917499068027,ok,3221226505,True,True,True,G12-seed3-E
G12-seed4,G12,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",seed4,63.647566235366604,63.54087936246538,39,64.457873170206,ok,3221226505,True,True,True,G12-seed4-E
G12-seed5,G12,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",seed5,62.90819470117067,62.21687494207959,42,60.186284354610244,ok,3221226505,True,True,True,G12-seed5-E
G13-seed1,G13,IEMOCAP,MM-DFN+AMBER,"(0.3,0.5,0.7)",seed1,67.28280961182995,66.92545452198331,29,65.99830387620658,ok,3221226505,True,True,True,G13-seed1-E
G13-seed2,G13,IEMOCAP,MM-DFN+AMBER,"(0.3,0.5,0.7)",seed2,67.34442390634628,67.03142756721184,35,68.32171631989884,ok,3221226505,True,True,True,G13-seed2-E
G13-seed3,G13,IEMOCAP,MM-DFN+AMBER,"(0.3,0.5,0.7)",seed3,68.57670979667283,67.91813069774959,19,67.18810740924437,ok,3221226505,True,True,True,G13-seed3-E
G13-seed4,G13,IEMOCAP,MM-DFN+AMBER,"(0.3,0.5,0.7)",seed4,66.60505237215034,66.35558019568307,19,71.32142848345943,ok,3221226505,True,True,True,G13-seed4-E
G13-seed5,G13,IEMOCAP,MM-DFN+AMBER,"(0.3,0.5,0.7)",seed5,67.34442390634628,66.88653618642803,18,69.5075988686704,ok,3221226505,True,True,True,G13-seed5-E
G14-seed1,G14,IEMOCAP,MM-DFN+AMBER,"(0.3,0.7,0.5)",seed1,66.05052372150338,65.55915424190374,44,64.10397797796327,ok,3221226505,True,True,True,G14-seed1-E
G14-seed2,G14,IEMOCAP,MM-DFN+AMBER,"(0.3,0.7,0.5)",seed2,64.20209488601355,63.4921260365921,33,59.2695595452605,ok,3221226505,True,True,True,G14-seed2-E
G14-seed3,G14,IEMOCAP,MM-DFN+AMBER,"(0.3,0.7,0.5)",seed3,64.75662353666051,64.4648494293088,20,63.045660839675385,ok,3221226505,True,True,True,G14-seed3-E
G14-seed4,G14,IEMOCAP,MM-DFN+AMBER,"(0.3,0.7,0.5)",seed4,65.86568083795441,65.25589134337142,17,69.77110064362738,ok,3221226505,True,True,True,G14-seed4-E
G14-seed5,G14,IEMOCAP,MM-DFN+AMBER,"(0.3,0.7,0.5)",seed5,64.14048059149722,63.29875090817909,50,68.96388608996438,ok,3221226505,True,True,True,G14-seed5-E
