cell_id,group_id,table,dataset,model,imr,metric,statistic,reported_value,recomputed_value,rounded_recomputed,matches_2dp,run_ids
T2-G16-acc-std,G16,2,IEMOCAP,MM-DFN+AMBER,"(0.5,0.7,0.3)",Acc,std,0.75,0.7490636064290368,0.75,True,G16-seed1;G16-seed2;G16-seed3;G16-seed4;G16-seed5
T2-G16-wf1-mean,G16,2,IEMOCAP,MM-DFN+AMBER,"(0.5,0.7,0.3)",w-F1,mean,64.06,64.06340241397254,64.06,True,G16-seed1;G16-seed2;G16-seed3;G16-seed4;G16-seed5
T2-G16-wf1-std,G16,2,IEMOCAP,MM-DFN+AMBER,"(0.5,0.7,0.3)",w-F1,std,0.61,0.6146364910893478,0.61,True,G16-seed1;G16-seed2;G16-seed3;G16-seed4;G16-seed5
T2-G17-acc-mean,G17,2,IEMOCAP,MM-DFN+AMBER,"(0.7,0.3,0.5)",Acc,mean,67.65,67.65249537892791,67.65,True,G17-seed1;G17-seed2;G17-seed3;G17-seed4;G17-seed5
T2-G17-acc-std,G17,2,IEMOCAP,MM-DFN+AMBER,"(0.7,0.3,0.5)",Acc,std,0.68,0.6763554651910079,0.68,True,G17-seed1;G17-seed2;G17-seed3;G17-seed4;G17-seed5
T2-G17-wf1-mean,G17,2,IEMOCAP,MM-DFN+AMBER,"(0.7,0.3,0.5)",w-F1,mean,67.41,67.40608434604965,67.41,True,G17-seed1;G17-seed2;G17-seed3;G17-seed4;G17-seed5
T2-G17-wf1-std,G17,2,IEMOCAP,MM-DFN+AMBER,"(0.7,0.3,0.5)",w-F1,std,0.67,0.6693550036101668,0.67,True,G17-seed1;G17-seed2;G17-seed3;G17-seed4;G17-seed5
T2-G18-acc-mean,G18,2,IEMOCAP,MM-DFN+AMBER,"(0.7,0.5,0.3)",Acc,mean,66.49,66.49414664202095,66.49,True,G18-seed1;G18-seed2;G18-seed3;G18-seed4;G18-seed5
T2-G18-acc-std,G18,2,IEMOCAP,MM-DFN+AMBER,"(0.7,0.5,0.3)",Acc,std,0.63,0.6319596502751958,0.63,True,G18-seed1;G18-seed2;G18-seed3;G18-seed4;G18-seed5
T2-G18-wf1-mean,G18,2,IEMOCAP,MM-DFN+AMBER,"(0.7,0.5,0.3)",w-F1,mean,65.94,65.940851250433,65.94,True,G18-seed1;G18-seed2;G18-seed3;G18-seed4;G18-seed5
T2-G18-wf1-std,G18,2,IEMOCAP,MM-DFN+AMBER,"(0.7,0.5,0.3)",w-F1,std,0.25,0.2541727317802685,0.25,True,G18-seed1;G18-seed2;G18-seed3;G18-seed4;G18-seed5
T3-G19-acc-mean,G19,3,CMU-MOSEI,GCNet+AMBER,"(0.3,0.5,0.7)",Acc,mean,81.77,81.76664832140891,81.77,True,G19-seed1;G19-seed2;G19-seed3;G19-seed4;G19-seed5
T3-G19-acc-std,G19,3,CMU-MOSEI,GCNet+AMBER,"(0.3,0.5,0.7)",Acc,std,0.29,0.2922601661497368,0.29,True,G19-seed1;G19-seed2;G19-seed3;G19-seed4;G19-seed5
T3-G19-wf1-mean,G19,3,CMU-MOSEI,GCNet+AMBER,"(0.3,0.5,0.7)",w-F1,mean,81.6,81.59649531556862,81.6,True,G19-seed1;G19-seed2;G19-seed3;G19-seed4;G19-seed5
T3-G19-wf1-std,G19,3,CMU-MOSEI,GCNet+AMBER,"(0.3,0.5,0.7)",w-F1,std,0.25,0.24860672883032445,0.25,True,G19-seed1;G19-seed2;G19-seed3;G19-seed4;G19-seed5
T3-G20-acc-mean,G20,3,CMU-MOSEI,GCNet+AMBER,"(0.3,0.7,0.5)",Acc,mean,79.59,79.59273527793066,79.59,True,G20-seed1;G20-seed2;G20-seed3;G20-seed4;G20-seed5
T3-G20-acc-std,G20,3,CMU-MOSEI,GCNet+AMBER,"(0.3,0.7,0.5)",Acc,std,0.64,0.6431772541810394,0.64,True,G20-seed1;G20-seed2;G20-seed3;G20-seed4;G20-seed5
T3-G20-wf1-mean,G20,3,CMU-MOSEI,GCNet+AMBER,"(0.3,0.7,0.5)",w-F1,mean,79.39,79.39490696367129,79.39,True,G20-seed1;G20-seed2;G20-seed3;G20-seed4;G20-seed5
T3-G20-wf1-std,G20,3,CMU-MOSEI,GCNet+AMBER,"(0.3,0.7,0.5)",w-F1,std,0.69,0.6886172116155909,0.69,True,G20-seed1;G20-seed2;G20-seed3;G20-seed4;G20-seed5
T3-G21-acc-mean,G21,3,CMU-MOSEI,GCNet+AMBER,"(0.5,0.3,0.7)",Acc,mean,84.18,84.17721518987342,84.18,True,G21-seed1;G21-seed2;G21-seed3;G21-seed4;G21-seed5
