run_id,group_id,dataset,model,imr,seed_alias,log_file,original_log_sha256,redacted_log_sha256,original_line_count,retained_original_line_count,sanitized_line_count,removed_line_count,epoch_summary_count,final_best_epoch,final_acc_pct,final_wf1_pct,best_report_acc,best_report_weighted_f1,best_report_support,best_report_matches_final_scalars_4dp,source_status,process_return_code
G05-seed5,G05,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",seed5,run_logs/G05/G05-seed5.log,e1220e3ad46fdef96425cea6031798feae490ffd81e76cfca36939685ec137f1,f3a7ca6b2a4ff0f3e72bd319f5290afae65701bf31894ceb2219da609a499af9,3720,1234,4,2482,150,149,65.92729513247073,65.35054465215501,0.6593,0.6535,1623,True,ok,3221226505
G06-seed1,G06,IEMOCAP,GCNet+AMBER,"(0.7,0.5,0.3)",seed1,run_logs/G06/G06-seed1.log,739f6ba5a21f4bf157c5ce7bdb4a57b9d163a6567e806ab3084e275b5107da7e,fa11866f138ac99ec797501d5079e873a2f2168d792981adc80fc67ef0d46e2e,2401,795,4,1602,95,54,62.292051756007396,61.52242157536156,0.6229,0.6152,1623,True,ok,3221226505
G06-seed2,G06,IEMOCAP,GCNet+AMBER,"(0.7,0.5,0.3)",seed2,run_logs/G06/G06-seed2.log,bd599eb0d8060f9cf030f9094399ae7039bff03a07cdf6036f654141607865fd,9b2283de86b7df9a4c382f8c528b27ec8d5a4cccfa2c1a09c298e220887a5480,2473,819,4,1650,98,57,62.78496611213802,62.155141096846776,0.6278,0.6216,1623,True,ok,3221226505
G06-seed3,G06,IEMOCAP,GCNet+AMBER,"(0.7,0.5,0.3)",seed3,run_logs/G06/G06-seed3.log,1ba719e42a43dd25d2214abb5ce671a80d347761caf34b4d5b8896d19188f9a4,c8c9e7607624b36a30bdc04a9819a568c479a45b5d643286dd02b87f4428d7eb,2257,747,4,1506,89,48,61.737523105360445,61.56507489545477,0.6174,0.6157,1623,True,ok,3221226505
G06-seed4,G06,IEMOCAP,GCNet+AMBER,"(0.7,0.5,0.3)",seed4,run_logs/G06/G06-seed4.log,7c047aedbfbe626bb9ac78ab6047af8e217e90d7532528e51fa76b95ba7dc9a4,e97bc6a261ba22b576e77ff151ebc5b47cf980fa61265d4c470c250d2f4cea3f,3649,1211,4,2434,147,106,62.90819470117067,62.292886578386394,0.6291,0.6229,1623,True,ok,3221226505
G06-seed5,G06,IEMOCAP,GCNet+AMBER,"(0.7,0.5,0.3)",seed5,run_logs/G06/G06-seed5.log,a4b0158c49edd55d692d101e811fa710024cf3d9eb74a56d6e77a38c96e5a540,3eeb21288f8f4b85246c06fe0f7e4182ff98c7d76847bc2646085409a6337c87,3720,1234,4,2482,150,112,62.16882316697474,61.79080764962729,0.6217,0.6179,1623,True,ok,3221226505
G07-seed1,G07,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",seed1,run_logs/G07/G07-seed1.log,7ba8986de9a143c93afb91ae363d8be98fdc90eef5ff11b069240aaf3fc0945b,f65c8d02e061561c778737ab7221949d162d1e76071c3aff3dec7cca5ba00b6e,2220,739,2,1479,88,62,65.06469500924214,64.81712373565762,0.6506,0.6482,1623,True,ok,3221226505
G07-seed2,G07,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",seed2,run_logs/G07/G07-seed2.log,37646740ebe47dc4f39ee7edf110c16d0a81c8ea299cbbcf114aca18152d7166,0ef261c3bacf4db0cb6b327be51b52f338dc9125cbdbb4623deb19d09ac21ace,2124,707,2,1415,84,58,66.78989525569932,66.51814678624355,0.6679,0.6652,1623,True,ok,3221226505
G07-seed3,G07,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",seed3,run_logs/G07/G07-seed3.log,c53481e8c867c0a46d9960494ccacc3278e552ded8ab13a9676939218cba9a59,416a9a500e7d9a15f16d6d44435f83d5b74b4f5ad9655f0378a185e04daa9840,2148,715,2,1431,85,59,63.52433764633395,63.39431758976548,0.6352,0.6339,1623,True,ok,3221226505
G07-seed4,G07,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",seed4,run_logs/G07/G07-seed4.log,6b796cf4ad65400e2868578cf57c068c765d0acfc64053ab65b1d08d2350b7f4,7a0f1c1557501fc78c5a522ae6ed735bbc63c334cfea2e2de5c9314d9aa6d64d,1692,563,2,1127,66,40,64.01725200246457,63.74845667518756,0.6402,0.6375,1623,True,ok,3221226505
G07-seed5,G07,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",seed5,run_logs/G07/G07-seed5.log,4c96061a64fbedf0ea7f472cbbe4db54ac4215c342ad3e356833d075074d28ce,e057898802d01670ddb6282d48d7114f22b420e9de1f153ad4d4673a927e2c28,1764,587,2,1175,69,43,63.83240911891559,64.04290615948695,0.6383,0.6404,1623,True,ok,3221226505
G08-seed1,G08,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",seed1,run_logs/G08/G08-seed1.log,c925b08120dbb6e4215efa4498dac90e84385265a40e747e286da042dfae1189,a2e0e3c8f0be922981327e45a8d0eff6c4a2bc592bf285156ed6a1edbed809ed,1836,611,2,1223,72,46,63.52433764633395,63.34504397008971,0.6352,0.6335,1623,True,ok,3221226505
G08-seed2,G08,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",seed2,run_logs/G08/G08-seed2.log,24b1c66f1f8f15a4a5cbed90877e403bca7f05adeee3ed94425c303ea01accd9,3e91d2619b91c751af75fa85274e142dbef63c8a233e3d0742b12db812f13319,2484,827,2,1655,99,73,62.230437461491064,61.98950027767432,0.6223,0.6199,1623,True,ok,3221226505
G08-seed3,G08,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",seed3,run_logs/G08/G08-seed3.log,29bcc113b07f53f87961fa89706ec063447ceff0aead77346cd25d10dee72d4c,f6c63e13a8d7d9f62e28a4d2ab8df9ae084ec9e00b0a6f18b80f38e604210821,1956,651,2,1303,77,51,62.72335181762168,62.6247577899922,0.6272,0.6262,1623,True,ok,3221226505
