group_id,table,metric,comparison,reference_count,reported_delta,recomputed_from_printed_means,matches_2dp,recomputed_from_unrounded_amber,matches_unrounded_amber_2dp,scope
G21,3,w-F1,original,1,1.18,1.1799999999999926,True,1.1801808915739684,True,arithmetic_only_baselines_not_run_verified
G21,3,w-F1,Group 1 mean,7,3.09,3.0857142857142748,True,3.0858951772882506,True,arithmetic_only_baselines_not_run_verified
G22,3,Acc,original,1,0.58,0.5799999999999983,True,0.5757952669234925,True,arithmetic_only_baselines_not_run_verified
G22,3,Acc,Group 1 mean,7,3.2,3.2085714285714317,False,3.204366695494926,True,arithmetic_only_baselines_not_run_verified
G22,3,w-F1,original,1,0.1,0.09999999999999432,True,0.09634912907641535,True,arithmetic_only_baselines_not_run_verified
G22,3,w-F1,Group 1 mean,7,3.36,3.367142857142852,False,3.363491986219273,True,arithmetic_only_baselines_not_run_verified
G23,3,Acc,original,1,0.31,0.30999999999998806,True,0.3126472206934494,True,arithmetic_only_baselines_not_run_verified
G23,3,Acc,Group 1 mean,7,2.8,2.7928571428571303,False,2.7955043635505916,True,arithmetic_only_baselines_not_run_verified
G23,3,w-F1,original,1,0.35,0.3500000000000085,True,0.35344581073536574,True,arithmetic_only_baselines_not_run_verified
G23,3,w-F1,Group 1 mean,7,3.05,3.049999999999997,True,3.0534458107353544,True,arithmetic_only_baselines_not_run_verified
G24,3,Acc,original,1,0.86,0.8599999999999994,True,0.8559988992845291,True,arithmetic_only_baselines_not_run_verified
G24,3,Acc,Group 1 mean,7,3.23,3.238571428571433,False,3.2345703278559625,True,arithmetic_only_baselines_not_run_verified
G24,3,w-F1,original,1,0.92,0.9200000000000017,True,0.9177091073667469,True,arithmetic_only_baselines_not_run_verified
G24,3,w-F1,Group 1 mean,7,3.51,3.508571428571429,True,3.506280535938174,True,arithmetic_only_baselines_not_run_verified
G25,3,Acc,original,1,1.9,1.9000000000000057,True,1.8987671986791383,True,arithmetic_only_baselines_not_run_verified
G25,3,Acc,Group 1 mean,7,3.55,3.548571428571421,True,3.5473386272505536,True,arithmetic_only_baselines_not_run_verified
G25,3,w-F1,original,1,2.39,2.3900000000000006,True,2.3869454113930715,True,arithmetic_only_baselines_not_run_verified
G25,3,w-F1,Group 1 mean,7,3.84,3.838571428571427,True,3.835516839964498,True,arithmetic_only_baselines_not_run_verified
G26,3,Acc,original,1,1.89,1.8900000000000006,True,1.8891359383599422,True,arithmetic_only_baselines_not_run_verified
G26,3,Acc,Group 1 mean,7,4.83,4.829999999999998,True,4.82913593835994,True,arithmetic_only_baselines_not_run_verified
G26,3,w-F1,original,1,2.42,2.4200000000000017,True,2.420512235001553,True,arithmetic_only_baselines_not_run_verified
