group_id,table,dataset,model,imr,run_count,source_id,aggregate_source_line,acc_mean,acc_std,paper_acc_mean,paper_acc_std,original_acc,balm_acc,delta_vs_original_acc,delta_vs_balm_acc,wf1_mean,wf1_std,paper_wf1_mean,paper_wf1_std,original_wf1,balm_wf1,delta_vs_original_wf1,delta_vs_balm_wf1
G13,2,IEMOCAP,MM-DFN+AMBER,"(0.3,0.5,0.7)",5,S01,8,67.43068391866913,0.7127045590102898,67.43,0.71,63.34,67.34,4.090683918669129,0.09068391866912862,67.02342583381117,0.5645608406454424,67.02,0.56,63.0,66.64,4.023425833811174,0.3834258338111738
G14,2,IEMOCAP,MM-DFN+AMBER,"(0.3,0.7,0.5)",5,S01,9,65.00308071472581,0.9065889691658764,65.0,0.91,60.38,63.4,4.623080714725809,1.603080714725813,64.41415439187102,1.0144428222289572,64.41,1.01,60.01,63.11,4.404154391871025,1.3041543918710232
G15,2,IEMOCAP,MM-DFN+AMBER,"(0.5,0.3,0.7)",5,S01,10,68.42883548983365,0.712704559010289,68.43,0.71,67.34,68.76,1.0888354898336416,-0.33116451016636006,68.11641553819092,0.8149770958742601,68.12,0.81,67.4,68.25,0.7164155381909154,-0.1335844618090789
G16,2,IEMOCAP,MM-DFN+AMBER,"(0.5,0.7,0.3)",5,S01,11,64.65804066543438,0.7490636064290368,64.66,0.75,57.92,64.02,6.738040665434383,0.6380406654343886,64.06340241397254,0.6146364910893478,64.06,0.61,56.25,63.76,7.81340241397254,0.30340241397254175
G17,2,IEMOCAP,MM-DFN+AMBER,"(0.7,0.3,0.5)",5,S01,12,67.65249537892791,0.6763554651910079,67.65,0.68,66.48,67.22,1.1724953789279056,0.4324953789279107,67.40608434604965,0.6693550036101668,67.41,0.67,66.67,67.02,0.7360843460496511,0.3860843460496568
G18,2,IEMOCAP,MM-DFN+AMBER,"(0.7,0.5,0.3)",5,S01,13,66.49414664202095,0.6319596502751958,66.49,0.63,63.65,65.5,2.8441466420209522,0.9941466420209508,65.940851250433,0.2541727317802685,65.94,0.25,64.0,64.98,1.940851250432999,0.9608512504329951
G19,3,CMU-MOSEI,GCNet+AMBER,"(0.3,0.5,0.7)",5,S02,8,81.76664832140891,0.2922601661497368,81.77,0.29,81.43,81.54,0.33664832140890155,0.22664832140890212,81.59649531556862,0.24860672883032445,81.6,0.25,81.07,81.4,0.5264953155686243,0.19649531556861177
G20,3,CMU-MOSEI,GCNet+AMBER,"(0.3,0.7,0.5)",5,S02,9,79.59273527793066,0.6431772541810394,79.59,0.64,78.23,78.51,1.3627352779306534,1.0827352779306523,79.39490696367129,0.6886172116155909,79.39,0.69,78.14,78.33,1.2549069636712886,1.064906963671291
G21,3,CMU-MOSEI,GCNet+AMBER,"(0.5,0.3,0.7)",5,S02,10,84.17721518987342,0.5722794260617873,84.18,0.57,82.64,83.27,1.5372151898734217,0.9072151898734262,83.96018089157397,0.5433316954546581,83.96,0.54,82.78,83.24,1.1801808915739684,0.7201808915739747
G22,3,CMU-MOSEI,GCNet+AMBER,"(0.5,0.7,0.3)",5,S02,11,78.9157952669235,0.34446854866892485,78.92,0.34,78.34,79.5,0.5757952669234925,-0.5842047330765041,78.60634912907642,0.43461811638033127,78.61,0.43,78.51,79.22,0.09634912907641535,-0.6136508709235784
